n,distribution,time_ms,comparisons,swaps,arrayReads,arrayWrites
100,random,1,476,9900,98,19996,196
100,sorted,0,014,198,0,396,0
100,reversed,0,393,7548,50,15196,100
100,nearly_sorted,0,551,9718,10,19456,20
1000,random,15,232,999000,995,1999990,1990
1000,sorted,0,067,1998,0,3996,0
1000,reversed,6,627,750498,500,1501996,1000
1000,nearly_sorted,2,086,998188,100,1996576,200
10000,random,158,984,99990000,9988,199999976,19976
10000,sorted,0,031,19998,0,39996,0
10000,reversed,111,077,75004998,5000,150019996,10000
10000,nearly_sorted,146,871,99877440,1000,199756880,2000
100000,random,15765,724,9999900000,99980,19999999960,199960
100000,sorted,0,282,199998,0,399996,0
100000,reversed,11977,959,7500049998,50000,15000199996,100000
100000,nearly_sorted,15945,125,9999592530,10000,19999205060,20000
